CONTROL_NUMBER,DONOR_AGE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,RECENT_STAR_STATUS,TARGET_B,MONTHS_SINCE_ORIGIN,IN_HOUSE,PEP_STAR,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_AVG_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LAST_GIFT_AMT,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PCT_VIETNAM_VETERANS,PER_CAPITA_INCOME,_NAME_,causes donated to last year,familiarity with programs,willingness to recommend
5,87,?,?,,H,M,2,0,0,101,0,1,A,1,15,1,0,26,19,45,297,35,8.49,15,15,26,92,,554,294,76,0,11855,survey_value,2,1,7
12,79,R,2,45,H,M,7,1,1,137,0,1,S,2,15,4,2,11,32,90,368,25,14.72,20,17,7,122,3,334,212,72,21,10385,survey_value,4,3,9
37,75,S,1,11,H,F,5,1,0,113,0,1,S,3,21.67,9,6,14,44,119,603,36,16.75,23,19,6,105,9,2388,405,63,26,30855,survey_value,4,4,9
38,,U,2,4,H,F,6,0,0,92,0,1,A,3,13.44,9,4,11,31,96,435,37,11.76,14,15,6,92,4,1688,153,3,32,16342,survey_value,1,1,6
41,74,R,2,49,U,F,2,0,0,101,0,0,A,1,17.5,2,1,18,30,83,106,12,8.83,20,25,18,92,5,514,328,90,36,12107,survey_value,1,0,6
52,63,U,3,8,U,M,3,0,0,101,0,0,A,4,8.33,3,1,19,22,59,128,22,5.82,7,10,19,91,,452,182,51,38,6851,survey_value,4,3,9
53,71,R,3,50,H,M,5,4,0,89,0,1,A,1,18.67,3,3,21,29,72,220,20,11,15,20,21,91,7,376,122,68,11,5900,survey_value,0,0,5
67,79,C,2,28,H,F,1,0,1,89,0,1,A,4,5,8,4,12,33,89,101,20,5.05,4,5,9,91,,1004,189,95,49,12667,survey_value,4,3,9
70,41,C,3,30,H,F,4,0,0,89,0,1,A,4,5,9,5,17,36,91,171,34,5.03,4,5,17,91,,361,180,56,45,8132,survey_value,4,3,9
71,63,R,2,43,H,F,4,1,1,101,0,1,S,3,8.6,5,4,11,27,62,150,22,6.82,8,8,9,91,,399,307,86,33,11428,survey_value,4,3,9
77,,R,2,43,U,F,,1,0,113,1,1,S,4,8.67,9,4,15,45,123,273,37,7.38,7,10,4,110,2,119,179,41,0,6519,survey_value,2,2,7
113,,R,3,53,U,F,,0,0,113,0,0,A,1,80,2,2,20,39,94,516,14,36.86,80,85,20,105,,168,163,79,22,9042,survey_value,1,0,6
122,,R,1,42,U,F,,1,0,89,0,1,S,4,3.5,11,7,15,36,98,100.5,33,3.05,14,2,15,91,,770,256,80,19,13841,survey_value,0,0,5
139,,R,2,46,U,F,,0,0,101,0,0,A,1,21,1,0,26,11,25,103,7,14.71,16,21,26,90,,655,219,77,24,12671,survey_value,2,1,7
142,,R,2,43,U,F,,1,1,137,0,1,S,2,10,7,5,22,44,110,186,31,6,9,10,22,129,1,475,227,70,33,10221,survey_value,2,2,7
156,73,?,?,,U,F,5,1,0,125,0,1,S,2,8.33,3,1,18,38,98,201,33,6.09,8,10,18,124,9,706,299,76,0,12426,survey_value,5,4,10
159,81,R,2,45,U,M,4,0,1,77,0,1,A,4,9.64,11,5,11,33,90,270,29,9.31,10,15,6,89,3,530,236,81,19,12208,survey_value,2,1,7
162,76,S,2,20,U,F,2,0,0,65,0,1,A,1,16.25,4,2,20,37,99,277,24,11.54,20,15,20,89,7,813,255,48,24,13079,survey_value,1,0,6
186,,?,?,,U,F,,1,0,125,0,1,S,4,10.83,12,4,15,46,131,670,76,8.82,17,11,15,125,3,910,240,53,0,19388,survey_value,0,0,5
210,69,S,2,16,H,F,3,1,0,101,0,1,S,2,11.57,7,3,12,33,96,255,26,9.81,15,10,12,92,6,663,340,68,37,13347,survey_value,1,1,6
220,45,C,3,30,H,M,2,1,1,77,0,1,S,4,6.14,7,4,13,29,79,122,22,5.55,5,7,5,87,2,550,387,83,43,20210,survey_value,1,1,6
230,71,T,2,40,H,M,3,0,0,65,0,0,A,1,17.5,2,0,26,16,44,90,7,12.86,15,20,26,88,7,2222,450,86,26,29771,survey_value,3,2,8
236,43,U,2,7,H,M,4,0,0,89,0,1,A,1,12.86,7,4,11,24,68,200,21,9.52,10,10,5,87,4,1296,358,52,53,13619,survey_value,2,1,7
250,87,S,2,20,U,F,1,0,1,89,0,1,A,2,12.86,7,4,17,39,94,261,24,10.88,12,12,17,87,4,469,222,42,17,10469,survey_value,4,4,9
257,55,?,?,,H,F,4,0,0,89,0,0,A,1,19,1,0,25,19,49,164,14,11.71,17,19,25,87,,490,152,63,0,9807,survey_value,3,3,8
263,77,T,1,34,U,U,,0,1,77,0,1,A,2,14,5,5,21,33,91,186,16,11.63,12,14,5,87,6,2156,331,41,0,24742,survey_value,2,1,7
268,37,C,1,23,U,F,5,0,1,89,0,0,A,4,25.88,8,5,15,40,107,470,21,22.38,25,35,8,87,9,1765,327,72,14,27674,survey_value,1,1,6
276,52,S,2,16,H,M,5,0,0,89,0,0,A,3,11.33,3,2,20,33,88,134,14,9.57,8,10,20,87,4,610,297,90,20,13018,survey_value,0,0,5
282,30,T,1,35,H,M,6,0,1,17,0,0,F,1,20,1,1,20,13,39,76,9,8.44,15,20,20,87,,1117,544,87,70,18212,survey_value,5,4,10
286,43,R,2,49,H,M,3,0,0,89,0,0,A,1,25,1,0,26,18,45,109,7,15.57,15,25,26,87,,542,301,65,62,9742,survey_value,1,1,6
316,77,T,3,41,H,M,1,0,0,89,0,1,A,1,20,10,6,12,32,82,380,23,16.52,15,20,4,87,0,312,117,65,7,5016,survey_value,3,3,8
317,,C,2,25,U,M,4,0,0,89,0,0,A,1,23,1,0,19,12,35,87,5,17.4,8,23,19,87,,1125,255,0,39,16041,survey_value,0,0,5
325,37,U,4,10,H,F,6,1,0,89,0,1,S,2,32.5,2,2,15,26,58,209,10,20.9,25,35,15,87,9,5435,1375,97,30,42851,survey_value,4,4,9
341,67,R,2,49,U,F,,19,1,89,0,1,A,1,14,4,1,15,37,106,297,27,11,20,15,7,86,4,517,327,83,32,12605,survey_value,5,4,10
349,65,U,1,1,H,F,6,0,0,89,0,0,E,1,15,1,0,15,9,29,59,5,11.8,5,15,15,86,,1489,402,26,55,22959,survey_value,2,1,7
363,77,U,3,9,H,F,5,0,0,89,0,0,A,1,17,1,0,25,14,39,101,7,14.43,5,17,25,85,,4872,221,10,11,14394,survey_value,1,1,6
364,59,U,1,1,H,F,5,1,1,53,0,1,S,2,13,6,2,20,26,70,284,21,13.52,20,10,18,85,7,3100,133,28,18,18262,survey_value,2,2,7
368,75,U,1,2,H,M,6,10,1,137,0,1,A,1,8.83,6,4,19,42,114,247,38,6.5,5,10,19,129,7,2257,485,84,28,17885,survey_value,0,0,5
372,42,S,1,12,H,M,6,0,0,101,0,0,A,1,18,2,0,17,21,59,89,7,12.71,14,19,17,91,,787,375,94,36,14366,survey_value,4,3,9
