TARGET_B,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,IN_HOUSE,PEP_STAR,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_AVG_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LAST_GIFT_AMT,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT
0,5,101,0,1,A,1,15,1,0,26,19,45,297,35,8.49,15,15,26,92
1,12,137,0,1,S,2,15,4,2,11,32,90,368,25,14.72,20,17,7,122
0,37,113,0,1,S,3,21.67,9,6,14,44,119,603,36,16.75,23,19,6,105
0,38,92,0,1,A,3,13.44,9,4,11,31,96,435,37,11.76,14,15,6,92
0,41,101,0,0,A,1,17.5,2,1,18,30,83,106,12,8.83,20,25,18,92
0,52,101,0,0,A,4,8.33,3,1,19,22,59,128,22,5.82,7,10,19,91
0,53,89,0,1,A,1,18.67,3,3,21,29,72,220,20,11,15,20,21,91
1,67,89,0,1,A,4,5,8,4,12,33,89,101,20,5.05,4,5,9,91
0,70,89,0,1,A,4,5,9,5,17,36,91,171,34,5.03,4,5,17,91
1,71,101,0,1,S,3,8.6,5,4,11,27,62,150,22,6.82,8,8,9,91
0,77,113,1,1,S,4,8.67,9,4,15,45,123,273,37,7.38,7,10,4,110
0,113,113,0,0,A,1,80,2,2,20,39,94,516,14,36.86,80,85,20,105
0,122,89,0,1,S,4,3.5,11,7,15,36,98,100.5,33,3.05,14,2,15,91
0,139,101,0,0,A,1,21,1,0,26,11,25,103,7,14.71,16,21,26,90
1,142,137,0,1,S,2,10,7,5,22,44,110,186,31,6,9,10,22,129
0,156,125,0,1,S,2,8.33,3,1,18,38,98,201,33,6.09,8,10,18,124
1,159,77,0,1,A,4,9.64,11,5,11,33,90,270,29,9.31,10,15,6,89
0,162,65,0,1,A,1,16.25,4,2,20,37,99,277,24,11.54,20,15,20,89
0,186,125,0,1,S,4,10.83,12,4,15,46,131,670,76,8.82,17,11,15,125
