CONTROL_NUMBER,survey_question,survey_value
00000005,causes donated to last year,2
00000012,causes donated to last year,4
00000037,causes donated to last year,4
00000038,causes donated to last year,1
00000041,causes donated to last year,1
00000052,causes donated to last year,4
00000053,causes donated to last year,0
00000067,causes donated to last year,4
00000070,causes donated to last year,4
00000071,causes donated to last year,4
00000077,causes donated to last year,2
00000113,causes donated to last year,1
00000122,causes donated to last year,0
00000139,causes donated to last year,2
00000142,causes donated to last year,2
00000156,causes donated to last year,5
00000159,causes donated to last year,2
00000162,causes donated to last year,1
00000186,causes donated to last year,0
00000210,causes donated to last year,1
00000220,causes donated to last year,1
00000230,causes donated to last year,3
00000236,causes donated to last year,2
00000250,causes donated to last year,4
00000257,causes donated to last year,3
00000263,causes donated to last year,2
00000268,causes donated to last year,1
00000276,causes donated to last year,0
00000282,causes donated to last year,5
00000286,causes donated to last year,1
00000316,causes donated to last year,3
00000317,causes donated to last year,0
00000325,causes donated to last year,4
00000341,causes donated to last year,5
00000349,causes donated to last year,2
00000363,causes donated to last year,1
00000364,causes donated to last year,2
00000368,causes donated to last year,0
00000372,causes donated to last year,4
00000379,causes donated to last year,0
00000383,causes donated to last year,4
00000387,causes donated to last year,4
00000397,causes donated to last year,3
00000403,causes donated to last year,0
00000412,causes donated to last year,1
00000427,causes donated to last year,3
00000438,causes donated to last year,3
00000441,causes donated to last year,5
00000458,causes donated to last year,1
00000478,causes donated to last year,5
00000511,causes donated to last year,0
00000527,causes donated to last year,5
00000532,causes donated to last year,2
00000539,causes donated to last year,3
00000542,causes donated to last year,1
00000544,causes donated to last year,2
00000545,causes donated to last year,2
00000551,causes donated to last year,2
00000557,causes donated to last year,2
00000564,causes donated to last year,2
00000576,causes donated to last year,4
00000578,causes donated to last year,5
00000583,causes donated to last year,2
00000591,causes donated to last year,3
00000598,causes donated to last year,0
00000603,causes donated to last year,4
00000616,causes donated to last year,5
00000621,causes donated to last year,4
00000626,causes donated to last year,5
00000634,causes donated to last year,2
00000637,causes donated to last year,3
00000640,causes donated to last year,2
00000646,causes donated to last year,3
00000653,causes donated to last year,3
00000661,causes donated to last year,3
00000665,causes donated to last year,3
00000672,causes donated to last year,4
00000675,causes donated to last year,3
00000683,causes donated to last year,5
00000687,causes donated to last year,2
00000689,causes donated to last year,3
00000696,causes donated to last year,3
00000701,causes donated to last year,4
00000702,causes donated to last year,0
00000706,causes donated to last year,4
